Model,Category,Difficulty,Video ID,Frames,Yes Count,Detection Rate,Has Detection,Top 10 Yes Confidences
DeepSeek-VL,Abuse,easy,Abuse013_x264,162,89,0.5494,True,"[0.99, 0.98, 0.98, 0.97, 0.96, 0.96, 0.95, 0.95, 0.95, 0.95]"
DeepSeek-VL,Abuse,easy,Abuse014_x264,86,19,0.2209,True,"[0.97, 0.97, 0.96, 0.95, 0.94, 0.92, 0.92, 0.9, 0.89, 0.89]"
DeepSeek-VL,Abuse,easy,Abuse015_x264,262,236,0.9008,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse016_x264,46,26,0.5652,True,"[1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98]"
DeepSeek-VL,Abuse,easy,Abuse017_x264,64,63,0.9844,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse018_x264,80,80,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse019_x264,131,125,0.9542,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse020_x264,103,85,0.8252,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse021_x264,63,62,0.9841,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse022_x264,94,94,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse023_x264,33,33,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse024_x264,34,27,0.7941,True,"[1.0, 0.99, 0.98, 0.98, 0.97, 0.97, 0.97, 0.97, 0.96, 0.96]"
DeepSeek-VL,Abuse,easy,Abuse025_x264,67,65,0.9701,True,"[0.99, 0.99, 0.98, 0.98, 0.98, 0.97, 0.97, 0.97, 0.97, 0.97]"
DeepSeek-VL,Abuse,easy,Abuse026_x264,66,65,0.9848,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse027_x264,145,7,0.0483,True,"[0.89, 0.88, 0.87, 0.86, 0.85, 0.85, 0.84]"
DeepSeek-VL,Abuse,easy,Abuse028_x264,47,32,0.6809,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.97]"
DeepSeek-VL,Abuse,easy,Abuse029_x264,10,4,0.4,True,"[0.98, 0.95, 0.93, 0.92]"
DeepSeek-VL,Abuse,easy,Abuse030_x264,51,2,0.0392,True,"[0.87, 0.84]"
DeepSeek-VL,Abuse,easy,Abuse031_x264,148,143,0.9662,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse032_x264,158,146,0.9241,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse033_x264,94,89,0.9468,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse034_x264,52,49,0.9423,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse035_x264,88,64,0.7273,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse036_x264,156,37,0.2372,True,"[0.98, 0.96, 0.96, 0.96, 0.96, 0.96, 0.94, 0.93, 0.93, 0.93]"
DeepSeek-VL,Abuse,easy,Abuse037_x264,59,0,0.0,False,[]
DeepSeek-VL,Abuse,easy,Abuse038_x264,29,16,0.5517,True,"[0.98, 0.97, 0.96, 0.96, 0.96, 0.93, 0.92, 0.92, 0.9, 0.9]"
DeepSeek-VL,Abuse,easy,Abuse039_x264,471,430,0.913,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse040_x264,113,43,0.3805,True,"[0.93, 0.93, 0.93, 0.92, 0.92, 0.91, 0.91, 0.9, 0.9, 0.9]"
DeepSeek-VL,Abuse,easy,Abuse041_x264,46,2,0.0435,True,"[0.87, 0.84]"
DeepSeek-VL,Abuse,easy,Abuse042_x264,949,851,0.8967,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse043_x264,129,127,0.9845,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse044_x264,131,112,0.855,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse045_x264,169,169,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse046_x264,38,22,0.5789,True,"[1.0, 1.0, 1.0, 0.99, 0.98, 0.98, 0.97, 0.97, 0.97, 0.97]"
DeepSeek-VL,Abuse,easy,Abuse047_x264,52,38,0.7308,True,"[1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse048_x264,113,110,0.9735,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse049_x264,71,69,0.9718,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse050_x264,162,155,0.9568,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse001_x264,90,69,0.7667,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse002_x264,28,28,1.0,True,"[0.99, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.97, 0.97, 0.97]"
DeepSeek-VL,Abuse,hard,Abuse003_x264,123,98,0.7967,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse004_x264,559,545,0.975,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse005_x264,31,31,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse006_x264,146,146,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse007_x264,38,34,0.8947,True,"[1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.97, 0.97]"
DeepSeek-VL,Abuse,hard,Abuse008_x264,280,280,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse009_x264,33,28,0.8485,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.97, 0.96, 0.96]"
DeepSeek-VL,Abuse,hard,Abuse010_x264,37,37,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse011_x264,121,105,0.8678,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse012_x264,171,171,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse013_x264,162,121,0.7469,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98]"
DeepSeek-VL,Abuse,hard,Abuse014_x264,86,86,1.0,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse015_x264,262,242,0.9237,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse016_x264,46,46,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse017_x264,64,64,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse018_x264,80,80,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse019_x264,131,131,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse020_x264,103,103,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse021_x264,63,62,0.9841,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse022_x264,94,94,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse023_x264,33,33,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse024_x264,34,34,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse025_x264,67,67,1.0,True,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse026_x264,66,66,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse027_x264,145,108,0.7448,True,"[0.97, 0.96, 0.96, 0.96, 0.96, 0.96, 0.94, 0.94, 0.94, 0.94]"
DeepSeek-VL,Abuse,hard,Abuse028_x264,47,39,0.8298,True,"[1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse029_x264,10,7,0.7,True,"[1.0, 0.99, 0.99, 0.99, 0.98, 0.96, 0.93]"
DeepSeek-VL,Abuse,hard,Abuse030_x264,51,51,1.0,True,"[0.98, 0.98, 0.97, 0.97, 0.97, 0.96, 0.96, 0.96, 0.96, 0.96]"
DeepSeek-VL,Abuse,hard,Abuse031_x264,148,147,0.9932,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse032_x264,158,155,0.981,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse033_x264,94,89,0.9468,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse034_x264,52,52,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse035_x264,88,82,0.9318,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse036_x264,156,127,0.8141,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.98]"
DeepSeek-VL,Abuse,hard,Abuse037_x264,59,59,1.0,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.98]"
DeepSeek-VL,Abuse,hard,Abuse038_x264,29,28,0.9655,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse039_x264,471,471,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse040_x264,113,98,0.8673,True,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse041_x264,46,29,0.6304,True,"[0.93, 0.93, 0.92, 0.91, 0.9, 0.9, 0.89, 0.89, 0.89, 0.87]"
DeepSeek-VL,Abuse,hard,Abuse042_x264,949,945,0.9958,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse043_x264,129,128,0.9922,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse044_x264,131,131,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse045_x264,169,169,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse046_x264,38,32,0.8421,True,"[1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,hard,Abuse047_x264,52,51,0.9808,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse048_x264,113,110,0.9735,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse049_x264,71,71,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,hard,Abuse050_x264,162,157,0.9691,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse001_x264,90,59,0.6556,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse002_x264,28,27,0.9643,True,"[0.98, 0.97, 0.97, 0.96, 0.96, 0.96, 0.96, 0.95, 0.94, 0.94]"
DeepSeek-VL,Abuse,medium,Abuse003_x264,123,96,0.7805,True,"[1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse004_x264,559,550,0.9839,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse005_x264,31,31,1.0,True,"[1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse006_x264,146,145,0.9932,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse007_x264,38,25,0.6579,True,"[1.0, 1.0, 0.99, 0.99, 0.99, 0.98, 0.97, 0.96, 0.96, 0.96]"
DeepSeek-VL,Abuse,medium,Abuse008_x264,280,280,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse009_x264,33,16,0.4848,True,"[0.99, 0.98, 0.97, 0.95, 0.95, 0.94, 0.94, 0.94, 0.94, 0.93]"
DeepSeek-VL,Abuse,medium,Abuse010_x264,37,37,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse011_x264,121,115,0.9504,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse012_x264,171,171,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse013_x264,162,57,0.3519,True,"[0.98, 0.97, 0.96, 0.94, 0.93, 0.93, 0.92, 0.91, 0.91, 0.91]"
DeepSeek-VL,Abuse,medium,Abuse014_x264,86,86,1.0,True,"[0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.98, 0.97, 0.97]"
DeepSeek-VL,Abuse,medium,Abuse015_x264,262,241,0.9198,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse016_x264,46,38,0.8261,True,"[1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98]"
DeepSeek-VL,Abuse,medium,Abuse017_x264,64,64,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse018_x264,80,80,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse019_x264,131,131,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse020_x264,103,99,0.9612,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse021_x264,63,62,0.9841,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse022_x264,94,94,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse023_x264,33,33,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse024_x264,34,34,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse025_x264,67,64,0.9552,True,"[0.99, 0.98, 0.97, 0.97, 0.97, 0.97, 0.96, 0.96, 0.96, 0.96]"
DeepSeek-VL,Abuse,medium,Abuse026_x264,66,66,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse027_x264,145,69,0.4759,True,"[0.94, 0.93, 0.91, 0.91, 0.91, 0.9, 0.9, 0.89, 0.89, 0.89]"
DeepSeek-VL,Abuse,medium,Abuse028_x264,47,45,0.9574,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse029_x264,10,7,0.7,True,"[0.99, 0.98, 0.97, 0.93, 0.93, 0.88, 0.85]"
DeepSeek-VL,Abuse,medium,Abuse030_x264,51,44,0.8627,True,"[0.97, 0.96, 0.95, 0.94, 0.94, 0.94, 0.94, 0.93, 0.93, 0.93]"
DeepSeek-VL,Abuse,medium,Abuse031_x264,148,147,0.9932,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse032_x264,158,152,0.962,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse033_x264,94,88,0.9362,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse034_x264,52,52,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse035_x264,88,74,0.8409,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse036_x264,156,58,0.3718,True,"[0.99, 0.97, 0.97, 0.97, 0.97, 0.96, 0.96, 0.96, 0.95, 0.95]"
DeepSeek-VL,Abuse,medium,Abuse037_x264,59,26,0.4407,True,"[0.97, 0.96, 0.95, 0.94, 0.94, 0.94, 0.93, 0.93, 0.92, 0.92]"
DeepSeek-VL,Abuse,medium,Abuse038_x264,29,26,0.8966,True,"[1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.97, 0.97]"
DeepSeek-VL,Abuse,medium,Abuse039_x264,471,470,0.9979,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse040_x264,113,72,0.6372,True,"[0.96, 0.95, 0.95, 0.94, 0.94, 0.94, 0.93, 0.93, 0.93, 0.93]"
DeepSeek-VL,Abuse,medium,Abuse041_x264,46,9,0.1957,True,"[0.93, 0.89, 0.88, 0.87, 0.87, 0.87, 0.86, 0.84, 0.84]"
DeepSeek-VL,Abuse,medium,Abuse042_x264,949,772,0.8135,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse043_x264,129,128,0.9922,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse044_x264,131,126,0.9618,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse045_x264,169,169,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse046_x264,38,25,0.6579,True,"[1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.98, 0.97, 0.97, 0.97]"
DeepSeek-VL,Abuse,medium,Abuse047_x264,52,46,0.8846,True,"[1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse048_x264,113,110,0.9735,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,medium,Abuse049_x264,71,71,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,medium,Abuse050_x264,162,157,0.9691,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Arrest,easy,Arrest001_x264,79,4,0.0506,True,"[0.99, 0.99, 0.98, 0.95]"
DeepSeek-VL,Arrest,easy,Arrest002_x264,59,39,0.661,True,"[0.99, 0.99, 0.99, 0.98, 0.97, 0.97, 0.97, 0.96, 0.96, 0.96]"
DeepSeek-VL,Arrest,easy,Arrest003_x264,101,76,0.7525,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Arrest,easy,Arrest004_x264,120,99,0.825,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Arrest,easy,Arrest005_x264,122,117,0.959,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Arrest,easy,Arrest006_x264,103,80,0.7767,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
